"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"961","2826-DXLQO","Male","YES","Yes","No",7,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",29.8,220.45,"No"
"963","9489-UTFKA","Male","YES","Yes","No",8,"Yes","No","DSL","Yes","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",60.9,551.95,"No"
"965","9117-SHLZX","Male","NO","No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",45.7,45.7,"Yes"
"966","9889-TMAHG","Male","YES","No","No",8,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Month-to-month","No","Credit card (automatic)",100.3,832.35,"Yes"
"967","4541-RMRLG","Male","NO","No","No",7,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.25,112.3,"Yes"
"969","3429-IFLEM","Female","NO","No","No",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",77.35,5550.1,"No"
"970","3158-MOERK","Female","NO","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",96,174.8,"Yes"
"972","5002-GCQFH","Male","NO","Yes","No",49,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",93.85,4733.1,"No"
"973","0556-FJEGU","Male","NO","No","No",58,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","No","Two year","No","Bank transfer (automatic)",70.1,4048.95,"No"
"974","8919-FYFQZ","Male","YES","Yes","No",44,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",30.35,1359.7,"Yes"
"975","0604-THJFP","Female","NO","Yes","Yes",59,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",75.95,4542.35,"No"
"976","2834-JRTUA","Male","NO","No","No",71,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",108.05,7532.15,"Yes"
"978","5879-SESNB","Female","NO","No","No",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",75.25,888.65,"No"
"979","6646-QVXLR","Male","YES","Yes","No",62,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",103.75,6383.35,"Yes"
"980","6461-PPAXN","Female","NO","Yes","Yes",35,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",54.95,1916,"No"
"981","3318-ISQFQ","Female","NO","No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.5,413,"No"
"982","1106-HRLKZ","Male","NO","Yes","Yes",40,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.6,808.95,"No"
"983","2483-XSSMZ","Female","NO","No","No",39,"Yes","No","DSL","Yes","No","No","No","No","No","One year","Yes","Electronic check",47.85,1886.4,"No"
"984","8603-IJWDN","Male","NO","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",86.6,86.6,"Yes"
"985","8165-ZJRNM","Female","NO","Yes","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.75,1679.25,"No"
"987","2604-XVDAM","Female","NO","No","No",12,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",43.8,540.95,"No"
"988","3717-OFRTN","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",19.75,19.75,"No"
"990","3280-NMUVX","Male","NO","Yes","Yes",34,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.6,678.8,"No"
"992","8361-LBRDI","Female","NO","No","No",58,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.35,1423.85,"No"
"993","4883-KCPZJ","Female","NO","Yes","Yes",22,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25.25,555.4,"No"
"994","9108-EQPNQ","Female","NO","Yes","Yes",10,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",26.1,225.55,"No"
"995","7277-KAMWT","Male","NO","No","No",13,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20,268.45,"No"
"996","3842-IYKUE","Female","NO","No","No",35,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",85.3,2917.5,"Yes"
"997","6641-XRPSU","Female","NO","No","No",34,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",70,2416.1,"Yes"
"998","1374-DMZUI","Female","YES","No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.3,424.45,"Yes"
"999","2545-LXYVJ","Male","NO","Yes","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",20.7,1492.1,"No"
"1000","3234-VKACU","Male","NO","No","No",2,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",70.3,132.4,"No"
"1001","8357-EQXFO","Female","NO","No","No",7,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.35,660.9,"Yes"
"1003","8120-JDCAM","Male","NO","Yes","Yes",4,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.55,284.9,"No"
"1004","8917-FAEMR","Female","NO","No","No",37,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.85,784.25,"No"
"1005","7047-YXDMZ","Male","NO","No","No",21,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20,417.7,"No"
"1007","9524-EGPJC","Female","NO","No","No",18,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",90.1,1612.75,"Yes"
"1009","8818-XYFCQ","Male","NO","Yes","Yes",32,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.55,3204.65,"Yes"
"1010","6419-ZTTLE","Male","YES","Yes","No",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",20.75,485.2,"No"
"1013","7426-RHZGU","Male","NO","No","No",9,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.9,827.45,"No"
"1014","4065-JJAVA","Female","NO","No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",49.5,49.5,"No"
"1015","4695-VADHF","Male","NO","Yes","Yes",18,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Electronic check",57.45,990.85,"Yes"
"1017","7649-SIJJF","Male","NO","Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Mailed check",80.1,5585.4,"No"
"1020","9391-TTOYH","Female","NO","No","No",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.5,470.2,"No"
"1021","1452-XRSJV","Female","NO","Yes","Yes",39,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",51.05,2066,"No"
"1022","3422-WJOYD","Male","NO","Yes","No",28,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",54.35,1426.45,"No"
"1024","7460-ITWWP","Female","YES","Yes","No",45,"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",86.1,3861.45,"No"
"1025","7147-AYBAA","Male","NO","No","No",37,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.35,2552.9,"No"
"1027","4822-RVYBB","Male","YES","No","No",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.6,819.4,"Yes"
"1028","6732-FZUGP","Female","NO","No","No",47,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","One year","No","Credit card (automatic)",94.9,4615.25,"No"
"1029","8436-BJUMM","Male","NO","Yes","Yes",26,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",83.75,2070.6,"Yes"
"1030","4184-TJFAN","Female","YES","Yes","Yes",3,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check",88.3,273.75,"Yes"
"1031","8329-GWVPJ","Female","NO","Yes","Yes",50,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.75,3557.7,"No"
"1032","1352-VHKAJ","Male","NO","Yes","Yes",27,"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",71.6,1957.1,"No"
"1034","2632-TACXW","Female","NO","Yes","No",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.65,1416.75,"No"
"1036","1767-CJKBA","Male","NO","No","No",66,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.1,1697.7,"No"
"1040","9948-YPTDG","Male","NO","Yes","No",38,"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",79.45,3013.05,"Yes"
"1042","1915-OAKWD","Female","NO","No","Yes",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",19.3,360.35,"No"
"1043","7296-PIXQY","Female","NO","Yes","Yes",14,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.2,1046.5,"No"
"1044","4883-QICIH","Male","NO","Yes","Yes",32,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",69.75,2347.9,"Yes"
"1045","3354-OADJP","Female","NO","No","No",8,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",54.25,447.75,"No"
"1046","3524-WQDSG","Female","NO","Yes","Yes",43,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.3,4209.95,"No"
"1047","0810-DHDBD","Female","NO","No","No",52,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","No","One year","No","Credit card (automatic)",74,3877.65,"No"
"1048","4026-SKKHW","Male","NO","No","No",3,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",50.25,152.3,"No"
"1049","2829-HYVZP","Male","NO","No","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.8,572.2,"No"
"1050","8329-IBCTI","Female","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.65,19.65,"Yes"
"1051","1271-SJBGZ","Male","YES","No","No",12,"No","No phone service","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",43.65,526.95,"Yes"
"1054","5669-SRAIP","Female","NO","No","No",5,"No","No phone service","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Electronic check",39.5,210.75,"Yes"
"1055","5981-ITEMU","Male","NO","Yes","No",40,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.1,3706.95,"Yes"
"1056","3486-NPGST","Female","NO","No","No",36,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.55,620.75,"No"
"1058","1624-WOIWJ","Female","NO","No","No",10,"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",84.7,832.05,"Yes"
"1059","2074-GKOWZ","Male","NO","Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.55,185.55,"Yes"
"1061","6100-FJZDG","Male","NO","Yes","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",20.05,505.9,"No"
"1062","4829-ZLJTK","Female","YES","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",112.4,8046.85,"No"
"1063","1730-VFMWO","Female","NO","Yes","No",34,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",50.2,1815.3,"No"
"1064","7143-BQIBA","Male","NO","No","No",10,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","No","Bank transfer (automatic)",62.25,612.95,"No"
"1065","3800-LYTRK","Female","NO","No","No",14,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",55.7,795.15,"No"
"1066","0634-SZPQA","Female","NO","No","No",23,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",90.05,2169.8,"Yes"
"1067","9646-NMHXE","Male","NO","Yes","No",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.65,973.1,"No"
"1068","7030-NJVDP","Male","NO","Yes","No",24,"Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",89.25,2210.2,"No"
"1069","5536-RTPWK","Male","NO","Yes","No",49,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",99.05,4853.75,"Yes"
"1070","8883-GRDWQ","Male","YES","No","No",20,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",54,1055.9,"No"
"1071","6166-ILMNY","Female","NO","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",69.75,144.55,"Yes"
"1072","3097-NNSPB","Female","NO","No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",49.05,91.1,"Yes"
"1074","0655-RBDUG","Male","NO","No","No",7,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",98.05,713,"Yes"
"1075","2111-DWYHN","Male","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",21.1,21.1,"No"
"1076","4194-WHFCB","Female","NO","Yes","Yes",59,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",96.65,5580.8,"No"
"1077","4121-AGSIN","Female","NO","Yes","Yes",58,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",24.5,1497.9,"No"
"1078","4361-BKAXE","Female","NO","No","No",41,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",114.5,4527.45,"Yes"
"1079","9845-PEEKO","Female","YES","No","No",59,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Two year","Yes","Credit card (automatic)",79.2,4590.35,"No"
"1080","0455-XFASS","Female","NO","Yes","Yes",3,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.55,200.2,"No"
"1082","1751-NCDLI","Male","YES","Yes","No",46,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",98.85,4564.9,"No"
"1083","4367-NUYAO","Male","NO","Yes","Yes",0,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.75,NA,"No"
"1084","9878-TNQGW","Male","NO","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.95,171.15,"Yes"
"1087","8999-BOHSE","Female","YES","No","No",11,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",89.7,1047.7,"Yes"
"1088","7241-AJHFS","Male","NO","No","No",32,"Yes","Yes","Fiber optic","Yes","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",87.65,2766.4,"No"
"1089","7029-RPUAV","Male","YES","Yes","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",100.45,1622.45,"Yes"
"1090","4546-FOKWR","Female","NO","No","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.75,1129.35,"No"
"1093","8590-YFFQO","Male","NO","Yes","No",70,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",64.95,4523.25,"No"
"1094","8659-IOOPU","Female","NO","Yes","Yes",71,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","Yes","Two year","No","Electronic check",100.45,7159.7,"No"
"1095","1338-CECEE","Male","NO","Yes","Yes",41,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",68.5,2839.95,"No"
"1096","7439-DKZTW","Male","NO","No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.55,80.55,"No"
"1097","4646-QZXTF","Female","NO","Yes","No",7,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",81.25,580.1,"No"
"1098","4607-CHPCA","Male","NO","Yes","Yes",25,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","Yes","Electronic check",90.4,2178.6,"Yes"
"1099","9742-XOKTS","Male","NO","Yes","Yes",67,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","One year","No","Electronic check",89.55,6038.55,"No"
"1100","6921-OZMFH","Male","NO","Yes","Yes",5,"Yes","Yes","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",55.7,259.4,"No"
"1101","9578-FOMUK","Male","NO","No","Yes",15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",24.8,324.15,"No"
"1104","7722-CVFXN","Male","NO","Yes","Yes",54,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",105.2,5637.85,"No"
"1105","8717-VCTXJ","Male","NO","No","No",42,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.55,839.4,"No"
"1106","7363-QTBIW","Female","NO","Yes","No",9,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.75,769.1,"No"
"1107","4159-NAAIX","Female","NO","No","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Two year","No","Bank transfer (automatic)",97.45,6253,"No"
"1109","9397-TZSHA","Female","NO","No","No",69,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",24.6,1678.05,"No"
"1110","3391-JSQEW","Male","NO","Yes","No",40,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",50.15,2058.5,"No"
"1111","0343-QLUZP","Male","NO","No","No",60,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",39.6,2424.5,"No"
"1112","9763-PDTKK","Female","NO","No","No",4,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",94.4,387.2,"Yes"
"1113","2176-LVPNX","Female","YES","No","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Mailed check",89.85,6293.45,"No"
"1115","3312-UUMZW","Male","NO","Yes","No",32,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",98.85,3145.9,"No"
"1116","1271-UODNO","Male","NO","No","No",39,"Yes","Yes","DSL","No","No","No","Yes","No","No","Two year","Yes","Credit card (automatic)",53.85,2200.7,"No"
"1117","8461-EFQYM","Female","NO","No","No",38,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Electronic check",24.25,914.4,"No"
"1118","6900-RBKER","Male","NO","No","No",52,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",89.45,4577.75,"No"
"1119","6891-JPYFF","Female","NO","Yes","Yes",48,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",105.25,4997.5,"No"
"1123","4081-DYXAV","Female","NO","No","No",19,"No","No phone service","DSL","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",44.85,893.55,"Yes"
"1126","8111-SLLHI","Male","YES","Yes","No",39,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.65,4284.8,"Yes"
"1127","0927-LCSMG","Male","NO","No","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",74.65,544.55,"Yes"
"1128","9330-DHBFL","Female","NO","Yes","Yes",23,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Mailed check",66.25,1533.8,"No"
"1129","0098-BOWSO","Male","NO","No","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.4,529.8,"No"
"1131","5859-HZYLF","Male","NO","Yes","Yes",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.15,515.75,"No"
"1133","5293-WXJAK","Female","YES","Yes","No",11,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.05,1133.65,"Yes"
"1134","3156-QLHBO","Male","NO","No","Yes",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.25,48.35,"No"
"1136","1779-PWPMG","Female","YES","Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.65,8333.95,"No"
"1137","6621-NRZAK","Female","NO","Yes","Yes",63,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20,1209.25,"No"
"1138","0831-JNISG","Male","NO","Yes","Yes",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.8,1396.25,"No"
"1139","0774-IFUVM","Male","NO","Yes","Yes",11,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",65.15,723.35,"No"
"1140","3082-WQRVY","Male","YES","Yes","No",14,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,228.65,"No"
"1141","9553-DLCLU","Female","NO","No","Yes",13,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",88.95,1161.75,"No"
"1142","1641-BYBTK","Male","NO","No","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",20.2,98.35,"No"
"1143","2460-NGXBJ","Male","YES","Yes","Yes",11,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.2,775.3,"No"
"1144","2446-ZKVAF","Male","NO","Yes","No",18,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",56.8,1074.65,"No"
"1146","3522-CDKHF","Female","NO","Yes","No",32,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.5,2324.7,"No"
"1147","1430-SFQSA","Male","NO","No","No",29,"No","No phone service","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",35.6,1072.6,"No"
"1148","0411-EZJZE","Female","NO","No","No",3,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",60.25,170.5,"No"
"1149","7851-WZEKY","Female","NO","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.15,196.9,"Yes"
"1151","8807-ARQET","Female","NO","No","No",41,"No","No phone service","DSL","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",40.35,1677.85,"No"
"1152","8992-CEUEN","Female","NO","No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",18.85,18.85,"No"
"1153","4320-QMLLA","Male","NO","No","No",7,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",54.85,370.4,"No"
"1155","8292-ITGYJ","Female","NO","Yes","Yes",45,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.65,1138.8,"No"
"1156","6870-ZWMNX","Male","NO","Yes","No",70,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",76.1,5264.25,"No"
"1157","0621-CXBKL","Female","NO","No","No",53,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",18.7,1005.7,"No"
"1158","5268-DSMNQ","Female","YES","Yes","No",62,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",97.95,5936.55,"No"
"1159","5334-JLAXU","Female","NO","Yes","No",60,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",94.1,5475.9,"No"
"1161","6242-MBHPK","Female","YES","Yes","No",23,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.1,2326.05,"No"
"1162","5868-CZJDR","Male","NO","No","Yes",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",31.35,31.35,"Yes"
"1168","4189-NAKJS","Male","NO","No","No",26,"Yes","Yes","DSL","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",51.55,1295.4,"No"
"1169","5562-BETPV","Male","NO","Yes","Yes",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.65,19.65,"No"
"1170","1282-IHQAC","Male","YES","No","No",70,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No","One year","Yes","Credit card (automatic)",44.05,3011.65,"No"
